name,VP7,VP4,VP6,VP1,VP2,VP3,NSP1,NSP2,NSP3,NSP4,NSP5
RVA/Human-wt/USA/2014738127/2014/G1P[8],MN478495,MN478653,MN478809,MN478967,MN479125,MN479283,MN479441,MN479599,MN479757,MN479915,MN480073
RVA/Human-wt/USA/2014739067/2014/G1P[8],MN478498,MN478656,MN478812,MN478970,MN479128,MN479286,MN479444,MN479602,MN479760,MN479918,MN480076
RVA/Human-wt/USA/2014741123/2014/G1P[8],MN478500,MN478658,MN478814,MN478972,MN479130,MN479288,MN479446,MN479604,MN479762,MN479920,MN480078
RVA/Human-wt/USA/2014741142/2014/G1P[8],MN478502,MN478660,MN478816,MN478974,MN479132,MN479290,MN479448,MN479606,MN479764,MN479922,MN480080
RVA/Human-wt/USA/2014741183/2014/G1P[8],MN478507,MN478665,MN478821,MN478979,MN479137,MN479295,MN479453,MN479611,MN479769,MN479927,MN480085
RVA/Human-wt/USA/2014741232/2014/G1P[8],MN478509,MN478667,MN478823,MN478981,MN479139,MN479297,MN479455,MN479613,MN479771,MN479929,MN480087
RVA/Human-wt/USA/2014741241/2014/G1P[8],MN478510,MN478668,MN478824,MN478982,MN479140,MN479298,MN479456,MN479614,MN479772,MN479930,MN480088
RVA/Human-wt/USA/2014741246/2014/G1P[8],MN478511,MN478669,MN478825,MN478983,MN479141,MN479299,MN479457,MN479615,MN479773,MN479931,MN480089
RVA/Human-wt/USA/2014741252/2014/G1P[8],MN478513,MN478671,MN478827,MN478985,MN479143,MN479301,MN479459,MN479617,MN479775,MN479933,MN480091
RVA/Human-wt/USA/2014741257/2014/G1P[8],MN478514,MN478672,MN478828,MN478986,MN479144,MN479302,MN479460,MN479618,MN479776,MN479934,MN480092
RVA/Human-wt/USA/2014741266/2014/G1P[8],MN478515,MN478673,MN478829,MN478987,MN479145,MN479303,MN479461,MN479619,MN479777,MN479935,MN480093
RVA/Human-wt/USA/2014741282/2014/G1P[8],MN478517,MN478675,MN478831,MN478989,MN479147,MN479305,MN479463,MN479621,MN479779,MN479937,MN480095
RVA/Human-wt/USA/2014741283/2014/G1P[8],MN478518,MN478676,MN478832,MN478990,MN479148,MN479306,MN479464,MN479622,MN479780,MN479938,MN480096
RVA/Human-wt/USA/2014741289/2014/G1P[8],MN478519,MN478677,MN478833,MN478991,MN479149,MN479307,MN479465,MN479623,MN479781,MN479939,MN480097
RVA/Human-wt/USA/2014741295/2014/G1P[8],MN478520,MN478678,MN478834,MN478992,MN479150,MN479308,MN479466,MN479624,MN479782,MN479940,MN480098
RVA/Human-wt/USA/2014745107/2014/G1P[8],MN478534,MN478692,MN478848,MN479006,MN479164,MN479322,MN479480,MN479638,MN479796,MN479954,MN480112
RVA/Human-wt/USA/2014745120/2014/G1P[8],MN478535,MN478693,MN478849,MN479007,MN479165,MN479323,MN479481,MN479639,MN479797,MN479955,MN480113
RVA/Human-wt/USA/2014751652/2014/G1P[8],MN478538,MN478696,MN478852,MN479010,MN479168,MN479326,MN479484,MN479642,MN479800,MN479958,MN480116
RVA/Human-wt/USA/2014741318/2014/G1P[8],MN478648,MN478805,MN478962,MN479120,MN479278,MN479436,MN479594,MN479752,MN479910,MN480068,MN480226
RVA/Human-wt/USA/2014751657/2014/G1P[8],MN478539,MN478697,MN478853,MN479011,MN479169,MN479327,MN479485,MN479643,MN479801,MN479959,MN480117
RVA/Human-wt/USA/2014753177/2014/G1P[8],MN478540,MN478698,MN478854,MN479012,MN479170,MN479328,MN479486,MN479644,MN479802,MN479960,MN480118
RVA/Human-wt/USA/2014753181/2014/G1P[8],MN478541,MN478699,MN478855,MN479013,MN479171,MN479329,MN479487,MN479645,MN479803,MN479961,MN480119
RVA/Human-wt/USA/2014741338/2014/G1P[8],MN478522,MN478680,MN478836,MN478994,MN479152,MN479310,MN479468,MN479626,MN479784,MN479942,MN480100
RVA/Human-wt/USA/2014741348/2014/G1P[8],MN478523,MN478681,MN478837,MN478995,MN479153,MN479311,MN479469,MN479627,MN479785,MN479943,MN480101
RVA/Human-wt/USA/2014741260/2014/G1P[8],MN478646,MN478803,MN478960,MN479118,MN479276,MN479434,MN479592,MN479750,MN479908,MN480066,MN480224
RVA/Human-wt/USA/2014741422/2014/G1P[8],MN478526,MN478684,MN478840,MN478998,MN479156,MN479314,MN479472,MN479630,MN479788,MN479946,MN480104
RVA/Human-wt/USA/3000355931/2016/G1P[8],MN478581,MN478738,MN478895,MN479053,MN479211,MN479369,MN479527,MN479685,MN479843,MN480001,MN480159
RVA/Human-wt/USA/2014741210/2014/G1P[8],MN478508,MN478666,MN478822,MN478980,MN479138,MN479296,MN479454,MN479612,MN479770,MN479928,MN480086
RVA/Human-wt/USA/2014745096/2014/G1P[8],MN478533,MN478691,MN478847,MN479005,MN479163,MN479321,MN479479,MN479637,MN479795,MN479953,MN480111
RVA/Human-wt/USA/2014741474/2014/G1P[8],MN478527,MN478685,MN478841,MN478999,MN479157,MN479315,MN479473,MN479631,MN479789,MN479947,MN480105
RVA/Human-wt/USA/2014743662/2014/G1P[8],MN478531,MN478689,MN478845,MN479003,MN479161,MN479319,MN479477,MN479635,MN479793,MN479951,MN480109
RVA/Human-wt/USA/2014743787/2014/G1P[8],MN478532,MN478690,MN478846,MN479004,MN479162,MN479320,MN479478,MN479636,MN479794,MN479952,MN480110
RVA/Human-wt/USA/3000449267/2015/G4P[8],MN478615,MN478772,MN478929,MN479087,MN479245,MN479403,MN479561,MN479719,MN479877,MN480035,MN480193
RVA/Human-wt/USA/3000353040/2016/G6P[8],MN478567,MN478724,MN478881,MN479039,MN479197,MN479355,MN479513,MN479671,MN479829,MN479987,MN480145
RVA/Human-wt/USA/3000399713/2016/G6P[8],MN478611,MN478768,MN478925,MN479083,MN479241,MN479399,MN479557,MN479715,MN479873,MN480031,MN480189
RVA/Human-wt/USA/3000591411/2016/G6P[5],MN478644,NA,MN478958,MN479116,MN479274,MN479432,MN479590,MN479748,MN479906,MN480064,MN480222
RVA/Human-wt/USA/2014741597/2014/G6P[8],MN478529,MN478687,MN478843,MN479001,MN479159,MN479317,MN479475,MN479633,MN479791,MN479949,MN480107
RVA/Human-wt/USA/2014741096/2014/G2P[4],MN478499,MN478657,MN478813,MN478971,MN479129,MN479287,MN479445,MN479603,MN479761,MN479919,MN480077
RVA/Human-wt/USA/3000007730/2015/G2P[4],MN478544,MN478701,MN478858,MN479016,MN479174,MN479332,MN479490,MN479648,MN479806,MN479964,MN480122
RVA/Human-wt/USA/3000007746/2015/G2P[4],MN478545,MN478702,MN478859,MN479017,MN479175,MN479333,MN479491,MN479649,MN479807,MN479965,MN480123
RVA/Human-wt/USA/3000007747/2015/G2P[4],MN478546,MN478703,MN478860,MN479018,MN479176,MN479334,MN479492,MN479650,MN479808,MN479966,MN480124
RVA/Human-wt/USA/3000347103/2014/G2P[4],MN478550,MN478707,MN478864,MN479022,MN479180,MN479338,MN479496,MN479654,MN479812,MN479970,MN480128
RVA/Human-wt/USA/3000347112/2014/G2P[4],MN478551,MN478708,MN478865,MN479023,MN479181,MN479339,MN479497,MN479655,MN479813,MN479971,MN480129
RVA/Human-wt/USA/3000347141/2014/G2P[4],MN478552,MN478709,MN478866,MN479024,MN479182,MN479340,MN479498,MN479656,MN479814,MN479972,MN480130
RVA/Human-wt/USA/3000347150/2014/G2P[4],MN478553,MN478710,MN478867,MN479025,MN479183,MN479341,MN479499,MN479657,MN479815,MN479973,MN480131
RVA/Human-wt/USA/3000347152/2014/G2P[4],MN478554,MN478711,MN478868,MN479026,MN479184,MN479342,MN479500,MN479658,MN479816,MN479974,MN480132
RVA/Human-wt/USA/3000347195/2015/G2P[4],MN478555,MN478712,MN478869,MN479027,MN479185,MN479343,MN479501,MN479659,MN479817,MN479975,MN480133
RVA/Human-wt/USA/3000347201/2015/G2P[4],MN478556,MN478713,MN478870,MN479028,MN479186,MN479344,MN479502,MN479660,MN479818,MN479976,MN480134
RVA/Human-wt/USA/3000347219/2015/G2P[4],MN478558,MN478715,MN478872,MN479030,MN479188,MN479346,MN479504,MN479662,MN479820,MN479978,MN480136
RVA/Human-wt/USA/3000347225/2015/G2P[4],MN478559,MN478716,MN478873,MN479031,MN479189,MN479347,MN479505,MN479663,MN479821,MN479979,MN480137
RVA/Human-wt/USA/3000347240/2015/G2P[4],MN478560,MN478717,MN478874,MN479032,MN479190,MN479348,MN479506,MN479664,MN479822,MN479980,MN480138
RVA/Human-wt/USA/3000347243/2015/G2P[4],MN478561,MN478718,MN478875,MN479033,MN479191,MN479349,MN479507,MN479665,MN479823,MN479981,MN480139
RVA/Human-wt/USA/3000380081/2015/G2P[4],MN478603,MN478760,MN478917,MN479075,MN479233,MN479391,MN479549,MN479707,MN479865,MN480023,MN480181
RVA/Human-wt/USA/3000380136/2015/G2P[4],MN478605,MN478762,MN478919,MN479077,MN479235,MN479393,MN479551,MN479709,MN479867,MN480025,MN480183
RVA/Human-wt/USA/3000347203/2015/G2P[4],MN478557,MN478714,MN478871,MN479029,MN479187,MN479345,MN479503,MN479661,MN479819,MN479977,MN480135
RVA/Human-wt/USA/VU12-13-145/2013/G2P[4],KT918451,KT918449,KT918450,KT918446,KT918447,KT918448,KT918441,KT918442,KT918443,KT918444,KT918445
RVA/Human-wt/USA/VU12-13-26/2013/G2P[4],KT918847,KT918845,KT918846,KT918842,KT918843,KT918844,KT918837,KT918838,KT918839,KT918840,KT918841
RVA/Human-wt/USA/2014737624/2014/G2P[4],MN478493,MN478651,MN478807,MN478965,MN479123,MN479281,MN479439,MN479597,MN479755,MN479913,MN480071
RVA/Human-wt/USA/2014737668/2014/G2P[4],MN478494,MN478652,MN478808,MN478966,MN479124,MN479282,MN479440,MN479598,MN479756,MN479914,MN480072
RVA/Human-wt/USA/2014753259/2014/G2P[4],MN478542,MN478700,MN478856,MN479014,MN479172,MN479330,MN479488,MN479646,MN479804,MN479962,MN480120
RVA/Human-wt/USA/3000558215/2016/G2P[8],MN478635,MN478792,MN478949,MN479107,MN479265,MN479423,MN479581,MN479739,MN479897,MN480055,MN480213
RVA/Human-wt/USA/3000380681/2015/G2P[4],MN478610,MN478767,MN478924,MN479082,MN479240,MN479398,MN479556,MN479714,MN479872,MN480030,MN480188
RVA/Human-wt/USA/3000558291/2016/G2P[4],MN478639,MN478796,MN478953,MN479111,MN479269,MN479427,MN479585,MN479743,MN479901,MN480059,MN480217
RVA/Human-wt/USA/VU12-13-101/2013/G9P[8],KT919508,KT919506,KT919507,KT919503,KT919504,KT919505,KT919498,KT919499,KT919500,KT919501,KT919502
RVA/Human-wt/USA/3000357125/2016/G9P[8],MN478587,MN478744,MN478901,MN479059,MN479217,MN479375,MN479533,MN479691,MN479849,MN480007,MN480165
RVA/Human-wt/USA/3000014466/2014/G9P[8],MN478547,MN478704,MN478861,MN479019,MN479177,MN479335,MN479493,MN479651,MN479809,MN479967,MN480125
RVA/Human-wt/USA/3000053718/2015/G9P[8],MN478548,MN478705,MN478862,MN479020,MN479178,MN479336,MN479494,MN479652,MN479810,MN479968,MN480126
RVA/Human-wt/USA/3000368549/2015/G9P[8],MN478592,MN478749,MN478906,MN479064,MN479222,MN479380,MN479538,MN479696,MN479854,MN480012,MN480170
RVA/Human-wt/USA/3000368927/2015/G9P[8],MN478593,MN478750,MN478907,MN479065,MN479223,MN479381,MN479539,MN479697,MN479855,MN480013,MN480171
RVA/Human-wt/USA/3000380486/2015/G9P[8],MN478606,MN478763,MN478920,MN479078,MN479236,MN479394,MN479552,MN479710,MN479868,MN480026,MN480184
RVA/Human-wt/USA/3000526249/2016/G9P[8],MN478627,MN478784,MN478941,MN479099,MN479257,MN479415,MN479573,MN479731,MN479889,MN480047,MN480205
RVA/Human-wt/USA/3000368400/2016/G9P[8],MN478588,MN478745,MN478902,MN479060,MN479218,MN479376,MN479534,MN479692,MN479850,MN480008,MN480166
RVA/Human-wt/USA/3000368401/2016/G9P[8],MN478589,MN478746,MN478903,MN479061,MN479219,MN479377,MN479535,MN479693,MN479851,MN480009,MN480167
RVA/Human-wt/USA/3000372661/2016/G9P[8],MN478600,MN478757,MN478914,MN479072,MN479230,MN479388,MN479546,MN479704,MN479862,MN480020,MN480178
RVA/Human-wt/USA/3000449274/2015/G9P[8],MN478616,MN478773,MN478930,MN479088,MN479246,MN479404,MN479562,MN479720,MN479878,MN480036,MN480194
RVA/Human-wt/USA/3000490361/2016/G9P[8],MN478620,MN478777,MN478934,MN479092,MN479250,MN479408,MN479566,MN479724,MN479882,MN480040,MN480198
RVA/Human-wt/USA/3000490366/2016/G9P[8],MN478621,MN478778,MN478935,MN479093,MN479251,MN479409,MN479567,MN479725,MN479883,MN480041,MN480199
RVA/Human-wt/USA/3000524336/2016/G9P[8],MN478622,MN478779,MN478936,MN479094,MN479252,MN479410,MN479568,MN479726,MN479884,MN480042,MN480200
RVA/Human-wt/USA/3000524374/2016/G9P[8],MN478624,MN478781,MN478938,MN479096,MN479254,MN479412,MN479570,MN479728,MN479886,MN480044,MN480202
RVA/Human-wt/USA/3000524769/2016/G9P[8],MN478625,MN478782,MN478939,MN479097,MN479255,MN479413,MN479571,MN479729,MN479887,MN480045,MN480203
RVA/Human-wt/USA/3000558204/2016/G9P[8],MN478634,MN478791,MN478948,MN479106,MN479264,MN479422,MN479580,MN479738,MN479896,MN480054,MN480212
RVA/Human-wt/USA/3000558285/2016/G9P[8],MN478637,MN478794,MN478951,MN479109,MN479267,MN479425,MN479583,MN479741,MN479899,MN480057,MN480215
RVA/Human-wt/USA/3000428941/2016/G3P[6],MN478613,MN478770,MN478927,MN479085,MN479243,MN479401,MN479559,MN479717,MN479875,MN480033,MN480191
RVA/Human-wt/USA/3000526180/2016/G3P[8],MN478626,MN478783,MN478940,MN479098,MN479256,MN479414,MN479572,MN479730,MN479888,MN480046,MN480204
RVA/Human-wt/USA/3000526261/2016/G3P[6],MN478628,NA,MN478942,MN479100,MN479258,MN479416,MN479574,MN479732,MN479890,MN480048,MN480206
RVA/Human-wt/USA/VU11-12-60/2012/G3P[8],KT919067,KT919065,KT919066,KT919062,KT919063,KT919064,KT919057,KT919058,KT919059,KT919060,KT919061
RVA/Human-wt/USA/3000354444/2015/G3P[6],MN478577,MN478734,MN478891,MN479049,MN479207,MN479365,MN479523,MN479681,MN479839,MN479997,MN480155
RVA/Human-wt/USA/3000592598/2016/G3P[6],MN478645,MN478802,MN478959,MN479117,MN479275,MN479433,MN479591,MN479749,MN479907,MN480065,MN480223
RVA/Human-wt/USA/2014738139/2014/G3P[6],MN478496,MN478654,MN478810,MN478968,MN479126,MN479284,MN479442,MN479600,MN479758,MN479916,MN480074
RVA/Human-wt/USA/VU12-13-138/2013/G12P[8],KT919651,KT919649,KT919650,KT919646,KT919647,KT919648,KT919641,KT919642,KT919643,KT919644,KT919645
RVA/Human-wt/USA/VU12-13-103/2013/G12P[8],KT919342,KT919340,KT919341,KT919337,KT919338,KT919339,KT919332,KT919333,KT919334,KT919335,KT919336
RVA/Human-wt/USA/VU12-13-122/2013/G12P[8],KT918748,KT918746,KT918747,KT918743,KT918744,KT918745,KT918738,KT918739,KT918740,KT918741,KT918742
RVA/Human-wt/USA/VU12-13-136/2013/G12P[8],KT919959,KT919957,KT919958,KT919954,KT919955,KT919956,KT919949,KT919950,KT919951,KT919952,KT919953
RVA/Human-wt/USA/VU12-13-15/2013/G12P[8],KT919838,KT919836,KT919837,KT919833,KT919834,KT919835,KT919828,KT919829,KT919830,KT919831,KT919832
RVA/Human-wt/USA/VU12-13-182/2013/G12P[8],KT919100,KT919098,KT919099,KT919095,KT919096,KT919097,KT919090,KT919091,KT919092,KT919093,KT919094
RVA/Human-wt/USA/VU12-13-6/2013/G12P[8],KT919188,KT919186,KT919187,KT919183,KT919184,KT919185,KT919178,KT919179,KT919180,KT919181,KT919182
RVA/Human-wt/USA/VU12-13-105/2013/G12P[8],KT918759,KT918757,KT918758,KT918754,KT918755,KT918756,KT918749,KT918750,KT918751,KT918752,KT918753
RVA/Human-wt/USA/VU12-13-135/2013/G12P[8],KT918418,KT918416,KT918417,KT918413,KT918414,KT918415,KT918408,KT918409,KT918410,KT918411,KT918412
RVA/Human-wt/USA/VU12-13-23/2013/G12P[8],KT919596,KT919594,KT919595,KT919591,KT919592,KT919593,KT919586,KT919587,KT919588,KT919589,KT919590
RVA/Human-wt/USA/VU12-13-94/2013/G12P[8],KT918671,KT918669,KT918670,KT918666,KT918667,KT918668,KT918661,KT918662,KT918663,KT918664,KT918665
RVA/Human-wt/USA/VU12-13-96/2013/G12P[8],KT918935,KT918933,KT918934,KT918930,KT918931,KT918932,KT918925,KT918926,KT918927,KT918928,KT918929
RVA/Human-wt/USA/VU12-13-97/2013/G12P[8],KT918605,KT918603,KT918604,KT918600,KT918601,KT918602,KT918595,KT918596,KT918597,KT918598,KT918599
RVA/Human-wt/USA/VU12-13-76/2012/G12P[8],KT919254,KT919252,KT919253,KT919249,KT919250,KT919251,KT919244,KT919245,KT919246,KT919247,KT919248
RVA/Human-wt/USA/VU11-12-70/2012/G12P[8],KT919475,KT919473,KT919474,KT919470,KT919471,KT919472,KT919465,KT919466,KT919467,KT919468,KT919469
RVA/Human-wt/USA/VU12-13-107/2013/G12P[8],KT919827,KT919825,KT919826,KT919822,KT919823,KT919824,KT919817,KT919818,KT919819,KT919820,KT919821
RVA/Human-wt/USA/VU12-13-116/2013/G12P[8],KT918770,KT918768,KT918769,KT918765,KT918766,KT918767,KT918760,KT918761,KT918762,KT918763,KT918764
RVA/Human-wt/USA/VU12-13-126/2013/G12P[8],KT919309,KT919307,KT919308,KT919304,KT919305,KT919306,KT919299,KT919300,KT919301,KT919302,KT919303
RVA/Human-wt/USA/VU12-13-132/2013/G12P[8],KT919728,KT919726,KT919727,KT919723,KT919724,KT919725,KT919718,KT919719,KT919720,KT919721,KT919722
RVA/Human-wt/USA/VU12-13-147/2013/G12P[8],KT919915,KT919913,KT919914,KT919910,KT919911,KT919912,KT919905,KT919906,KT919907,KT919908,KT919909
RVA/Human-wt/USA/VU12-13-196/2013/G12P[8],KT919287,KT919285,KT919286,KT919282,KT919283,KT919284,KT919277,KT919278,KT919279,KT919280,KT919281
RVA/Human-wt/USA/VU12-13-202/2013/G12P[8],KT919441,KT919439,KT919440,KT919436,KT919437,KT919438,KT919431,KT919432,KT919433,KT919434,KT919435
RVA/Human-wt/USA/VU12-13-22/2013/G12P[8],KT919717,KT919715,KT919716,KT919712,KT919713,KT919714,KT919707,KT919708,KT919709,KT919710,KT919711
RVA/Human-wt/USA/VU12-13-35/2013/G12P[8],KT919541,KT919539,KT919540,KT919536,KT919537,KT919538,KT919531,KT919532,KT919533,KT919534,KT919535
RVA/Human-wt/USA/VU12-13-73/2012/G12P[8],KT918792,KT918790,KT918791,KT918787,KT918788,KT918789,KT918782,KT918783,KT918784,KT918785,KT918786
RVA/Human-wt/USA/VU12-13-8/2013/G12P[8],KT919794,KT919792,KT919793,KT919789,KT919790,KT919791,KT919784,KT919785,KT919786,KT919787,KT919788
RVA/Human-wt/USA/VU12-13-9/2013/G12P[8],KT919849,KT919847,KT919848,KT919844,KT919845,KT919846,KT919839,KT919840,KT919841,KT919842,KT919843
RVA/Human-wt/USA/VU11-12-67/2012/G12P[8],KT919772,KT919770,KT919771,KT919767,KT919768,KT919769,KT919762,KT919763,KT919764,KT919765,KT919766
RVA/Human-wt/USA/VU12-13-85/2013/G12P[8],KT918462,KT918460,KT918461,KT918457,KT918458,KT918459,KT918452,KT918453,KT918454,KT918455,KT918456
RVA/Human-wt/USA/VU12-13-104/2013/G12P[8],KT918583,KT918581,KT918582,KT918578,KT918579,KT918580,KT918573,KT918574,KT918575,KT918576,KT918577
RVA/Human-wt/USA/VU12-13-114/2013/G12P[8],KT918561,KT918559,KT918560,KT918556,KT918557,KT918558,KT918551,KT918552,KT918553,KT918554,KT918555
RVA/Human-wt/USA/VU12-13-124/2013/G12P[8],KT919563,KT919561,KT919562,KT919558,KT919559,KT919560,KT919553,KT919554,KT919555,KT919556,KT919557
RVA/Human-wt/USA/VU12-13-13/2013/G12P[8],KT919078,KT919076,KT919077,KT919073,KT919074,KT919075,KT919068,KT919069,KT919070,KT919071,KT919072
RVA/Human-wt/USA/VU12-13-142/2013/G12P[8],KT918660,KT918658,KT918659,KT918655,KT918656,KT918657,KT918650,KT918651,KT918652,KT918653,KT918654
RVA/Human-wt/USA/VU12-13-183/2013/G12P[8],KT919199,KT919197,KT919198,KT919194,KT919195,KT919196,KT919189,KT919190,KT919191,KT919192,KT919193
RVA/Human-wt/USA/VU12-13-201/2013/G12P[8],KT919089,KT919087,KT919088,KT919084,KT919085,KT919086,KT919079,KT919080,KT919081,KT919082,KT919083
RVA/Human-wt/USA/VU12-13-21/2013/G12P[8],KT919574,KT919572,KT919573,KT919569,KT919570,KT919571,KT919564,KT919565,KT919566,KT919567,KT919568
RVA/Human-wt/USA/VU12-13-33/2013/G12P[8],KT918506,KT918504,KT918505,KT918501,KT918502,KT918503,KT918496,KT918497,KT918498,KT918499,KT918500
RVA/Human-wt/USA/VU12-13-7/2013/G12P[8],KT919232,KT919230,KT919231,KT919227,KT919228,KT919229,KT919222,KT919223,KT919224,KT919225,KT919226
RVA/Human-wt/USA/VU12-13-78/2012/G12P[8],KT919353,KT919351,KT919352,KT919348,KT919349,KT919350,KT919343,KT919344,KT919345,KT919346,KT919347
RVA/Human-wt/USA/VU12-13-89/2013/G12P[8],KT919166,KT919164,KT919165,KT919161,KT919162,KT919163,KT919156,KT919157,KT919158,KT919159,KT919160
RVA/Human-wt/USA/VU12-13-99/2013/G12P[8],KT918627,KT918625,KT918626,KT918622,KT918623,KT918624,KT918617,KT918618,KT918619,KT918620,KT918621
